term	in_encode	file_count	dataset_count
sequence motifs instances	yes	4383	0
sequence motifs report	yes	2329	0
sequence uniqueness	yes	2	0
signal	yes	2248	1711
signal of all reads	yes	4571	817
signal of unique reads	yes	15554	3294
signal p-value	yes	99650	9380
smoothed methylation state at CpG	yes	40	0
snRNA reference	no	0	0
sparse gRNA count matrix	yes	1	0
sparse gene count matrix	yes	38	21
sparse gene count matrix of all reads	yes	188	188
sparse gene count matrix of unique reads	yes	188	188
sparse peak count matrix	yes	8	3
sparse transcript count matrix	yes	5	3
spike-in alignments	yes	94	0
spike-ins	yes	9	0
splice junctions	yes	369	150
subreads	yes	204	104
summed densities signal	yes	16	0
tRNA reference	no	0	0
thresholded element gene links	yes	5298	0
thresholded links	yes	10592	0
topic gene weights	no	0	0
training and test regions	yes	2379	0
training set	no	0	0
transcribed fragments	yes	62	24
transcribed region quantifications	yes	98	49
transcript quantifications	yes	18201	3383
transcription segment quantifications	yes	582	97
transcription start sites	yes	2737	260
transcriptome alignments	yes	12161	2879
transcriptome annotations	yes	341	177
transcriptome index	yes	3	0
transcriptome reference	yes	11	0
transposable element TF ancestral origin percent by motif	no	0	0
transposable element TF ancestral origin percent by subfamily	no	0	0
unfiltered alignments	yes	45564	13981
unfiltered modified peptide quantification	yes	12	6
unfiltered peptide quantification	yes	28	14
unfiltered sparse gene count matrix of all reads	yes	1820	409
unfiltered sparse gene count matrix of unique reads	yes	1820	409
unfiltered sparse splice junction count matrix of unique reads	yes	1618	409
unidirectional peaks	yes	243	225
validation	yes	35	35
valleys	yes	32	0
variant calls	yes	25	19
variant effect quantifications	yes	54	0
variant functional prediction	no	0	0
variant reference	no	0	0
variants contact matrix	yes	43	0
wavelet-smoothed signal	yes	142	63
z scores matrix	yes	16	0
